timestamp,window_title,raw_text
2025-07-06 21:09:26,SM-N950F,SM-N950F | 9:09 0 | Gadgetbridge | 6 pm | 123 | Steps | 0:20 | Active time | Body Energy | Dash board | Today | o | 92m | Distance | 0:00 | Sleep | Stress | V02 Max | 00 | Devices
2025-07-06 21:09:36,SM-N950F,SM-N950F | 9:09 0 | Gadgetbridge | 6 pm | 123 | Steps | 0:20 | Active time | Body Energy | Dash board | Today | o | 92m | Distance | 0:00 | Sleep | Stress | V02 Max | 00 | Devices
2025-07-06 21:09:45,SM-N950F,SM-N950F | 9:09 0 | Gadgetbridge | Today | 6 pm | 123 | Steps | 0:20 | Active time | Body Energy | 92m | Distance | 0:00 | Sleep | Stress | 2 Max | Bluetooth is disabled. | 00 | Devices | Dash board | o
2025-07-08 14:01:08,WhatsApp,kr di hein | 1:57 PM | e | WhatsApp | Archived | D Search archived chats | Bhai Anas | Muhammad Usaid | U shukriya bhot meri api key b... | +923208463188 | Kesi hain ap dear | Zain Toor (You) | V/ Bonus meme for the birt.. | Husnain Tabassam | V/ asslamualikum bhai husnain... | Maam Hamna | V/ Reply to kary | Haya Abaya By IshmA | Easypaisa/Jazzcash : 0300 8985... | Abaya Shop 3 Abaya Shop | Ap humri I'd visit kara Sara desi... | Free Online Seminar 2 | Unknown number: MY SELF... | Abaya Shop Abaya Shop 2 | Arzoo Pakiysh | V/ Sister | Bhai Anas | 1:55 PM | 1:58 PM | 1:55 PM | Ardived | 11:26 AM | 1226 AM | Ar&ived | Yesterday | Ardived | 7/2/2025 | 6/30/2025 | Ar&ived | 6/27/2025 | Ardived | 6/27/2025 | Ar&ived | 6/17/2025 | 6/12/2025 | hn g | 1:57 PM | jesy ap ne likhi same to same wesy hi | pip freeze > installed.txt | pip uninstall -y -r installed.txt | auper wale | pip ke sath | b hai anas | command run kare | pip freeze > installed.txt in vscode | then 2. pip uninstall -y -r installed.txt | del installed.txt | nai in vscode ko nahi likhna | just command likhna hai | del installed.txt | ye run ki hein | 1:58 PM | 1:58 PM | nai in vscode ko nahi likhna | nhi likha | 1:58 PM | bipe a message | 1:56 PM U | 1-87 PM | 1:58 PM U | O
2025-07-08 14:01:16,WhatsApp,kr di hein | 1:57 PM | e | WhatsApp | Archived | D Search archived chats | Bhai Anas | Muhammad Usaid | U shukriya bhot meri api key b... | +923208463188 | Kesi hain ap dear | Zain Toor (You) | V/ Bonus meme for the birt.. | Husnain Tabassam | V/ asslamualikum bhai husnain... | Maam Hamna | V/ Reply to kary | Haya Abaya By IshmA | Easypaisa/Jazzcash : 0300 8985... | Abaya Shop 3 Abaya Shop | Ap humri I'd visit kara Sara desi... | Free Online Seminar 2 | Unknown number: MY SELF... | Abaya Shop Abaya Shop 2 | Arzoo Pakiysh | V/ Sister | Bhai Anas | 1:55 PM | 1:58 PM | 1:55 PM | Ardived | 11:26 AM | 1226 AM | Ar&ived | Yesterday | Ardived | 7/2/2025 | 6/30/2025 | Ar&ived | 6/27/2025 | Ardived | 6/27/2025 | Ar&ived | 6/17/2025 | 6/12/2025 | hn g | 1:57 PM | jesy ap ne likhi same to same wesy hi | pip freeze > installed.txt | pip uninstall -y -r installed.txt | auper wale | pip ke sath | b hai anas | command run kare | pip freeze > installed.txt in vscode | then 2. pip uninstall -y -r installed.txt | del installed.txt | nai in vscode ko nahi likhna | just command likhna hai | del installed.txt | ye run ki hein | 1:58 PM | 1:58 PM | nai in vscode ko nahi likhna | nhi likha | 1:58 PM | bipe a message | 1:56 PM U | 1-87 PM | 1:58 PM U | O
2025-07-08 14:01:26,WhatsApp,kr di hein | 1:57 PM | e | WhatsApp | Archived | D Search archived chats | Bhai Anas | Muhammad Usaid | U shukriya bhot meri api key b... | +923208463188 | Kesi hain ap dear | Zain Toor (You) | V/ Bonus meme for the birt.. | Husnain Tabassam | V/ asslamualikum bhai husnain... | Maam Hamna | V/ Reply to kary | Haya Abaya By IshmA | Easypaisa/Jazzcash : 0300 8985... | Abaya Shop 3 Abaya Shop | Ap humri I'd visit kara Sara desi... | Free Online Seminar 2 | Unknown number: MY SELF... | Abaya Shop Abaya Shop 2 | Arzoo Pakiysh | V/ Sister | Bhai Anas | 1:55 PM | 1:58 PM | 1:55 PM | Ardived | 11:26 AM | 1226 AM | Ar&ived | Yesterday | Ardived | 7/2/2025 | 6/30/2025 | Ar&ived | 6/27/2025 | Ardived | 6/27/2025 | Ar&ived | 6/17/2025 | 6/12/2025 | hn g | 1:57 PM | jesy ap ne likhi same to same wesy hi | pip freeze > installed.txt | pip uninstall -y -r installed.txt | auper wale | pip ke sath | b hai anas | command run kare | pip freeze > installed.txt in vscode | then 2. pip uninstall -y -r installed.txt | del installed.txt | nai in vscode ko nahi likhna | just command likhna hai | del installed.txt | ye run ki hein | 1:58 PM | 1:58 PM | nai in vscode ko nahi likhna | nhi likha | 1:58 PM | bipe a message | 1:56 PM U | 1-87 PM | 1:58 PM U | O
